item_id,restaurant_id,item_name,Category,Price
1,1,Fish Burger,Burger,195
2,1,Dal Makhani,Main Course,275
3,1,Tandoori Roti,Bread,30
4,1,Pav Bhaji,Main Course,135
5,1,Jeera Rice,Rice,145
6,1,Veg Biryani,Rice,295
7,1,Protein Bowl,Healthy,270
8,1,Paneer Burger,Burger,205
9,1,Palak Paneer,Main Course,205
10,1,Butter Chicken,Main Course,325
11,1,Pav Bhaji,Main Course,185
12,1,Double Patty Burger,Burger,225
13,1,Aloo Tikki Burger,Burger,125
14,1,Paneer Biryani,Rice,325
15,1,Egg Biryani,Rice,290
16,1,Veg Supreme Pizza,Pizza,375
17,1,Pepperoni Pizza,Pizza,530
18,1,Tandoori Roti,Bread,25
19,1,Prawn Biryani,Rice,390
20,1,Egg Biryani,Rice,275
21,1,Laccha Paratha,Bread,60
22,1,Aloo Gobi,Main Course,165
23,1,Prawn Biryani,Rice,435
24,1,Mutton Rogan Josh,Main Course,375
25,1,Cheese Pizza,Pizza,305
26,1,Aloo Paratha,Bread,85
27,1,Aloo Paratha,Bread,80
28,1,Garlic Naan,Bread,70
29,1,Palak Paneer,Main Course,295
30,1,Farmhouse Pizza,Pizza,465
31,1,Kadai Paneer,Main Course,260
32,1,Butter Chicken,Main Course,370
33,1,Paratha,Bread,65
34,1,Fish Burger,Burger,260
35,1,Avocado Toast,Healthy,310
36,1,Stuffed Naan,Bread,95
37,1,Rajma Masala,Main Course,240
38,1,Chicken Tikka Masala,Main Course,285
39,1,Mutton Biryani,Rice,380
40,1,Hyderabadi Biryani,Rice,375
41,1,Butter Chicken,Main Course,410
42,1,Pav Bhaji,Main Course,130
43,1,Cheese Pizza,Pizza,350
44,1,Farmhouse Pizza,Pizza,490
45,1,Quinoa Bowl,Healthy,265
46,1,Egg Curry,Main Course,225
47,1,Aloo Paratha,Bread,65
48,1,Mutton Biryani,Rice,390
49,1,Egg Biryani,Rice,305
50,1,Chicken Biryani,Rice,270
51,2,Double Patty Burger,Burger,300
52,2,Egg Curry,Main Course,250
53,2,Fried Rice,Rice,190
54,2,Egg Curry,Main Course,240
55,2,Cheese Pizza,Pizza,350
56,2,Oats Bowl,Healthy,210
57,2,Pav Bhaji,Main Course,160
58,2,Quinoa Bowl,Healthy,320
59,2,Hyderabadi Biryani,Rice,315
60,2,Pav Bhaji,Main Course,125
61,2,Caesar Salad,Healthy,220
62,2,Margherita Pizza,Pizza,320
63,2,Chicken Tikka Masala,Main Course,305
64,2,Green Smoothie Bowl,Healthy,260
65,2,Avocado Toast,Healthy,290
66,2,Missi Roti,Bread,35
67,2,Chicken Biryani,Rice,325
68,2,Margherita Pizza,Pizza,365
69,2,Aloo Gobi,Main Course,175
70,2,Chana Masala,Main Course,190
71,2,Jeera Rice,Rice,200
72,2,Garlic Naan,Bread,70
73,2,Paneer Burger,Burger,205
74,2,Protein Bowl,Healthy,350
75,2,Stuffed Naan,Bread,75
76,2,Chana Masala,Main Course,225
77,2,Paneer Tikka Pizza,Pizza,365
78,2,Prawn Biryani,Rice,360
79,2,Sprouts Salad,Healthy,115
80,2,Aloo Gobi,Main Course,220
81,2,Egg Curry,Main Course,235
82,2,Double Patty Burger,Burger,230
83,2,Cheese Pizza,Pizza,375
84,2,Double Patty Burger,Burger,280
85,2,Veg Burger,Burger,150
86,2,Aloo Tikki Burger,Burger,100
87,2,Veg Biryani,Rice,290
88,2,Kadai Paneer,Main Course,295
89,2,Avocado Toast,Healthy,270
90,2,Prawn Biryani,Rice,420
91,2,Hyderabadi Biryani,Rice,385
92,2,Kadai Paneer,Main Course,245
93,2,Chicken BBQ Pizza,Pizza,410
94,2,Farmhouse Pizza,Pizza,330
95,2,Fried Rice,Rice,250
96,2,Garlic Naan,Bread,60
97,2,Prawn Biryani,Rice,395
98,2,Mushroom Pizza,Pizza,325
99,2,Sprouts Salad,Healthy,180
100,2,Puri,Bread,40
101,3,Mushroom Pizza,Pizza,455
102,3,Rajma Masala,Main Course,170
103,3,Stuffed Naan,Bread,70
104,3,Chicken Burger,Burger,260
105,3,Oats Bowl,Healthy,205
106,3,Green Smoothie Bowl,Healthy,190
107,3,Double Patty Burger,Burger,260
108,3,Paneer Tikka Pizza,Pizza,345
109,3,Kadai Paneer,Main Course,255
110,3,Avocado Toast,Healthy,305
111,3,Caesar Salad,Healthy,220
112,3,Butter Naan,Bread,35
113,3,Butter Naan,Bread,55
114,3,Butter Chicken,Main Course,310
115,3,Fried Rice,Rice,220
116,3,Greek Salad,Healthy,180
117,3,Prawn Biryani,Rice,485
118,3,Hyderabadi Biryani,Rice,330
119,3,Chana Masala,Main Course,245
120,3,Double Cheese Pizza,Pizza,490
121,3,Egg Curry,Main Course,215
122,3,Veg Burger,Burger,195
123,3,Chicken BBQ Pizza,Pizza,425
124,3,Oats Bowl,Healthy,210
125,3,Prawn Biryani,Rice,400
126,3,Paneer Biryani,Rice,280
127,3,Margherita Pizza,Pizza,345
128,3,Pepperoni Pizza,Pizza,510
129,3,Pepperoni Pizza,Pizza,410
130,3,Butter Naan,Bread,40
131,3,Chicken Tikka Masala,Main Course,325
132,3,Dal Makhani,Main Course,255
133,3,Aloo Tikki Burger,Burger,130
134,3,Paneer Burger,Burger,180
135,3,Paneer Butter Masala,Main Course,230
136,3,Paneer Biryani,Rice,320
137,3,Shahi Paneer,Main Course,270
138,3,Chicken Tikka Masala,Main Course,395
139,3,Palak Paneer,Main Course,240
140,3,Chicken Tikka Masala,Main Course,345
141,3,Butter Naan,Bread,45
142,3,Mutton Biryani,Rice,445
143,3,Mix Veg Curry,Main Course,230
144,3,Chana Masala,Main Course,235
145,3,Crispy Chicken Burger,Burger,240
146,3,Butter Naan,Bread,50
147,3,Caesar Salad,Healthy,230
148,3,Rajma Masala,Main Course,160
149,3,Mutton Rogan Josh,Main Course,460
150,3,Aloo Paratha,Bread,75
151,4,Veg Supreme Pizza,Pizza,440
152,4,Sprouts Salad,Healthy,105
153,4,Veg Biryani,Rice,285
154,4,Chicken Biryani,Rice,270
155,4,Shahi Paneer,Main Course,290
156,4,Fried Rice,Rice,205
157,4,Caesar Salad,Healthy,195
158,4,Butter Naan,Bread,40
159,4,Rajma Masala,Main Course,220
160,4,Pepperoni Pizza,Pizza,415
161,4,Chicken BBQ Pizza,Pizza,415
162,4,Tandoori Roti,Bread,40
163,4,Butter Naan,Bread,35
164,4,Pepperoni Pizza,Pizza,520
165,4,Mutton Rogan Josh,Main Course,360
166,4,Chicken Biryani,Rice,330
167,4,Quinoa Bowl,Healthy,220
168,4,Butter Chicken,Main Course,420
169,4,Prawn Biryani,Rice,410
170,4,Egg Curry,Main Course,230
171,4,Paneer Tikka Pizza,Pizza,465
172,4,Mix Veg Curry,Main Course,210
173,4,Protein Bowl,Healthy,265
174,4,Egg Curry,Main Course,230
175,4,Paneer Butter Masala,Main Course,270
176,4,Garlic Naan,Bread,70
177,4,Schezwan Fried Rice,Rice,240
178,4,Paratha,Bread,55
179,4,Egg Biryani,Rice,315
180,4,Schezwan Fried Rice,Rice,250
181,4,Mutton Biryani,Rice,445
182,4,Aloo Gobi,Main Course,165
183,4,Paratha,Bread,45
184,4,Shahi Paneer,Main Course,315
185,4,Jeera Rice,Rice,200
186,4,Shahi Paneer,Main Course,335
187,4,Missi Roti,Bread,30
188,4,Shahi Paneer,Main Course,315
189,4,Double Cheese Pizza,Pizza,480
190,4,Green Smoothie Bowl,Healthy,300
191,4,Veg Burger,Burger,140
192,4,Shahi Paneer,Main Course,305
193,4,Butter Chicken,Main Course,410
194,4,Fish Curry,Main Course,290
195,4,Double Patty Burger,Burger,230
196,4,Veg Biryani,Rice,230
197,4,Margherita Pizza,Pizza,280
198,4,Avocado Toast,Healthy,270
199,4,Butter Naan,Bread,55
200,4,Double Patty Burger,Burger,225
201,5,Mushroom Swiss Burger,Burger,210
202,5,Veg Supreme Pizza,Pizza,490
203,5,Paneer Burger,Burger,220
204,5,Veg Burger,Burger,160
205,5,Oats Bowl,Healthy,175
206,5,Mix Veg Curry,Main Course,245
207,5,Paneer Biryani,Rice,280
208,5,Butter Naan,Bread,45
209,5,Margherita Pizza,Pizza,285
210,5,Mutton Biryani,Rice,395
211,5,Farmhouse Pizza,Pizza,410
212,5,Oats Bowl,Healthy,150
213,5,Paneer Butter Masala,Main Course,280
214,5,Mushroom Swiss Burger,Burger,270
215,5,Mutton Rogan Josh,Main Course,370
216,5,Chicken Burger,Burger,185
217,5,Mushroom Pizza,Pizza,365
218,5,Chana Masala,Main Course,205
219,5,Avocado Toast,Healthy,210
220,5,Avocado Toast,Healthy,230
221,5,Stuffed Naan,Bread,80
222,5,Egg Curry,Main Course,235
223,5,Quinoa Bowl,Healthy,290
224,5,Paneer Biryani,Rice,280
225,5,Mushroom Swiss Burger,Burger,305
226,5,Chicken Biryani,Rice,325
227,5,Paneer Butter Masala,Main Course,305
228,5,Greek Salad,Healthy,240
229,5,Puri,Bread,25
230,5,Avocado Toast,Healthy,215
231,5,Garlic Naan,Bread,50
232,5,Avocado Toast,Healthy,215
233,5,Jeera Rice,Rice,200
234,5,Aloo Gobi,Main Course,175
235,5,Paratha,Bread,60
236,5,Mix Veg Curry,Main Course,205
237,5,Mix Veg Curry,Main Course,245
238,5,Fish Burger,Burger,215
239,5,Mushroom Pizza,Pizza,425
240,5,Garlic Naan,Bread,45
241,5,Butter Chicken,Main Course,380
242,5,Chicken BBQ Pizza,Pizza,440
243,5,Palak Paneer,Main Course,200
244,5,Laccha Paratha,Bread,75
245,5,Chana Masala,Main Course,240
246,5,Garlic Naan,Bread,50
247,5,Jeera Rice,Rice,185
248,5,Aloo Tikki Burger,Burger,155
249,5,Aloo Tikki Burger,Burger,100
250,5,Kadai Paneer,Main Course,220
251,6,Avocado Toast,Healthy,290
252,6,Protein Bowl,Healthy,290
253,6,Chicken Burger,Burger,165
254,6,Quinoa Bowl,Healthy,265
255,6,Paneer Burger,Burger,220
256,6,Aloo Gobi,Main Course,195
257,6,Chana Masala,Main Course,165
258,6,Puri,Bread,30
259,6,Protein Bowl,Healthy,260
260,6,Protein Bowl,Healthy,340
261,6,Mix Veg Curry,Main Course,245
262,6,Butter Naan,Bread,40
263,6,Aloo Paratha,Bread,85
